Source,Target,Weight,Label,Type
5,912,1,Año,Dirigido
5,913,1,Año,Dirigido
5,914,1,Año,Dirigido
5,915,1,Año,Dirigido
5,916,1,Año,Dirigido
5,919,1,Año,Dirigido
5,924,1,Año,Dirigido
5,938,1,Año,Dirigido
5,952,1,Año,Dirigido
5,964,1,Año,Dirigido
5,1006,1,Año,Dirigido
5,1007,1,Año,Dirigido
5,1008,1,Año,Dirigido
5,1010,1,Año,Dirigido
5,1011,1,Año,Dirigido
5,1013,1,Año,Dirigido
5,1014,1,Año,Dirigido
5,1016,1,Año,Dirigido
5,1017,1,Año,Dirigido
5,1018,1,Año,Dirigido
5,1021,1,Año,Dirigido
5,1022,1,Año,Dirigido
5,1024,1,Año,Dirigido
5,1026,1,Año,Dirigido
5,1029,1,Año,Dirigido
5,1031,1,Año,Dirigido
5,1032,1,Año,Dirigido
5,1033,1,Año,Dirigido
5,1034,1,Año,Dirigido
5,1036,1,Año,Dirigido
5,1038,1,Año,Dirigido
5,1039,1,Año,Dirigido
5,1040,1,Año,Dirigido
5,1042,1,Año,Dirigido
5,1044,1,Año,Dirigido
5,1054,1,Año,Dirigido
5,1055,1,Año,Dirigido
5,1057,1,Año,Dirigido
5,1058,1,Año,Dirigido
5,1059,1,Año,Dirigido
5,1061,1,Año,Dirigido
5,1065,1,Año,Dirigido
5,1066,1,Año,Dirigido
5,1067,1,Año,Dirigido
5,1070,1,Año,Dirigido
5,1073,1,Año,Dirigido
5,1074,1,Año,Dirigido
5,1075,1,Año,Dirigido
5,1080,1,Año,Dirigido
5,1089,1,Año,Dirigido
5,1108,1,Año,Dirigido
5,1170,1,Año,Dirigido
5,1171,1,Año,Dirigido
5,1172,1,Año,Dirigido
5,1173,1,Año,Dirigido
5,1174,1,Año,Dirigido
5,1175,1,Año,Dirigido
5,1176,1,Año,Dirigido
5,1177,1,Año,Dirigido
5,1178,1,Año,Dirigido
5,1179,1,Año,Dirigido
5,1180,1,Año,Dirigido
5,1182,1,Año,Dirigido
5,1183,1,Año,Dirigido
5,1184,1,Año,Dirigido
5,1185,1,Año,Dirigido
5,1187,1,Año,Dirigido
5,1188,1,Año,Dirigido
5,1189,1,Año,Dirigido
5,1190,1,Año,Dirigido
5,1191,1,Año,Dirigido
5,1192,1,Año,Dirigido
5,1193,1,Año,Dirigido
5,1194,1,Año,Dirigido
5,1195,1,Año,Dirigido
5,1196,1,Año,Dirigido
5,1197,1,Año,Dirigido
5,1198,1,Año,Dirigido
5,1199,1,Año,Dirigido
5,1202,1,Año,Dirigido
5,1203,1,Año,Dirigido
5,1205,1,Año,Dirigido
5,1206,1,Año,Dirigido
5,1207,1,Año,Dirigido
5,1211,1,Año,Dirigido
5,1214,1,Año,Dirigido
5,1215,1,Año,Dirigido
5,1217,1,Año,Dirigido
5,1222,1,Año,Dirigido
5,1223,1,Año,Dirigido
5,1224,1,Año,Dirigido
5,1231,1,Año,Dirigido
5,1233,1,Año,Dirigido
5,1253,1,Año,Dirigido
5,1264,1,Año,Dirigido
5,1265,1,Año,Dirigido
5,1266,1,Año,Dirigido
5,1270,1,Año,Dirigido
5,1273,1,Año,Dirigido
5,1275,1,Año,Dirigido
5,1445,1,Año,Dirigido
5,1449,1,Año,Dirigido
5,1460,1,Año,Dirigido
6,8,1,Artista,Dirigido
6,10,1,Año,Dirigido
6,15,1,Artista,Dirigido
6,23,1,Año,Dirigido
6,131,1,Año,Dirigido
6,135,1,Año,Dirigido
6,141,1,Año,Dirigido
6,154,1,Año,Dirigido
6,157,1,Año,Dirigido
